               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.027333,            0.010773,             0.01842,             0.10474,             0.28925,             0.60655,             0.39692,            0.078311,            0.036822,            0.068009,            0.024109,             0.10812,          0.00064141,          0.00064141,            0.035941
                  54,            0.028154,            0.011199,            0.018342,             0.10441,             0.59842,              0.4963,             0.46286,             0.14637,            0.034096,            0.069304,            0.026271,             0.10692,           0.0006531,           0.0006531,            0.034753
                  55,            0.029518,            0.011136,            0.019331,             0.10399,             0.62467,             0.56296,             0.56362,             0.20958,             0.02716,            0.047838,            0.025326,             0.10521,          0.00066476,          0.00066476,            0.033565
                  56,            0.027338,            0.010874,            0.018208,             0.10124,             0.71068,             0.49109,             0.62939,             0.22305,            0.027879,            0.041154,            0.024079,             0.10373,          0.00067642,          0.00067642,            0.032376
                  57,            0.027115,            0.010825,            0.018097,             0.10085,              0.6737,             0.52593,             0.67699,             0.29056,            0.027893,            0.038577,            0.022501,             0.10243,          0.00068806,          0.00068806,            0.031188
                  58,            0.027401,             0.01101,            0.017555,             0.10092,             0.36586,             0.97436,             0.68478,             0.26864,            0.031474,            0.035142,            0.020977,             0.10095,           0.0006997,           0.0006997,                0.03
                  59,            0.025774,            0.010701,            0.016773,             0.10112,             0.48356,             0.82051,              0.6989,             0.27271,            0.027599,            0.037102,            0.021918,             0.10255,          0.00071132,          0.00071132,            0.028811
                  60,            0.027269,            0.010399,            0.017231,            0.099357,             0.49296,             0.84299,             0.69843,             0.31655,            0.026471,            0.028515,            0.020116,             0.10146,          0.00072292,          0.00072292,            0.027623
                  61,            0.028102,            0.010848,             0.01741,            0.097618,             0.52055,             0.87825,             0.75457,             0.30782,            0.026707,            0.028234,            0.019794,            0.099007,          0.00073451,          0.00073451,            0.026435
                  62,            0.027158,            0.010514,            0.016619,            0.097968,             0.45542,             0.96059,             0.75094,             0.36642,            0.026825,            0.028748,            0.021251,             0.10011,          0.00074609,          0.00074609,            0.025246
                  63,            0.028064,            0.010634,            0.017593,             0.09799,             0.51341,                   1,             0.72011,             0.37456,            0.028964,            0.029668,            0.019453,            0.099204,          0.00075766,          0.00075766,            0.024058
                  64,            0.027377,            0.010484,            0.016666,            0.097709,             0.41046,             0.88604,             0.62464,             0.31049,             0.02936,            0.027758,            0.022778,             0.10152,          0.00076921,          0.00076921,            0.022869
                  65,            0.026809,            0.010186,            0.015957,            0.096537,             0.68588,             0.42382,             0.50085,             0.14009,            0.033819,            0.039068,            0.025656,              0.1052,          0.00078075,          0.00078075,            0.021681
                  66,            0.025897,            0.010626,            0.017016,            0.098486,             0.62516,             0.38889,             0.43797,             0.11137,            0.033516,            0.048211,             0.02417,            0.099772,          0.00079227,          0.00079227,            0.020492
                  67,            0.027361,            0.010493,            0.018068,            0.094852,             0.51824,             0.72394,             0.57303,             0.18593,            0.030298,            0.046635,            0.022588,            0.095269,          0.00080378,          0.00080378,            0.019304
                  68,            0.027627,            0.010501,            0.017502,            0.095033,             0.65026,             0.62556,             0.64304,              0.3111,            0.028394,            0.045994,            0.022151,            0.094724,          0.00081528,          0.00081528,            0.018115
                  69,             0.02924,            0.010683,            0.017297,            0.094639,             0.46648,             0.92308,             0.67081,              0.3509,            0.029923,            0.043715,            0.021429,            0.095415,          0.00082676,          0.00082676,            0.016927
                  70,            0.030618,            0.011014,            0.017019,            0.095057,             0.61589,             0.84435,              0.7203,              0.3882,            0.027683,            0.032195,            0.018785,            0.090679,          0.00083822,          0.00083822,            0.015738
                  71,            0.026201,            0.010882,            0.016726,            0.092057,             0.60364,             0.73362,              0.6488,             0.22735,            0.030151,            0.037016,            0.018643,            0.089513,          0.00084967,          0.00084967,             0.01455
                  72,            0.027175,            0.010064,            0.015668,            0.091239,             0.64509,             0.81195,              0.7778,             0.40963,            0.025939,            0.036313,            0.018221,            0.089976,           0.0008611,           0.0008611,            0.013361
                  73,            0.025002,           0.0096795,            0.016246,            0.090112,             0.66088,             0.79623,             0.77959,             0.47251,            0.025891,            0.031888,            0.018023,            0.089288,          0.00087252,          0.00087252,            0.012173
                  74,             0.02542,           0.0096022,            0.016555,            0.091976,             0.67535,             0.82593,             0.75992,              0.4894,            0.026021,             0.02739,            0.017967,            0.089073,          0.00088392,          0.00088392,            0.010984
                  75,            0.026036,           0.0093021,            0.015473,            0.091639,             0.57121,             0.86536,             0.70225,             0.42646,            0.023896,            0.026328,            0.017596,             0.08829,          0.00089531,          0.00089531,           0.0097953
                  76,            0.024687,           0.0091744,            0.015189,            0.090802,             0.67878,             0.83357,             0.74475,             0.46985,            0.023458,            0.025721,            0.017053,            0.088114,          0.00090668,          0.00090668,           0.0086067
                  77,            0.024328,           0.0088617,            0.015484,            0.090639,             0.70428,               0.796,             0.77147,             0.48644,            0.022898,            0.027515,             0.01687,            0.087149,          0.00091803,          0.00091803,            0.007418
                  78,            0.023777,           0.0090163,            0.014705,            0.087835,             0.71725,             0.76325,             0.75671,             0.43825,            0.024197,            0.027964,            0.016482,            0.087281,          0.00092937,          0.00092937,           0.0062294
                  79,            0.023427,           0.0095422,            0.014162,             0.08788,             0.71805,             0.86319,             0.82513,             0.35459,            0.026217,            0.027941,            0.016779,            0.087745,          0.00094069,          0.00094069,           0.0050407
                  80,            0.022744,           0.0092123,            0.014878,            0.088662,             0.53649,             0.97206,             0.78865,             0.40407,            0.026602,            0.028403,              0.0228,            0.089149,          0.00095199,          0.00095199,            0.003852
                  81,            0.023119,           0.0095147,            0.014499,            0.088109,              0.5459,             0.97436,             0.75075,             0.51029,            0.024549,            0.027942,             0.02219,            0.088617,          0.00096328,          0.00096328,           0.0026633
                  82,            0.022409,           0.0099583,            0.014231,            0.087963,             0.60043,             0.97603,             0.81685,             0.45277,            0.024314,            0.036948,            0.019026,            0.086718,          0.00097454,          0.00097454,           0.0014745
                  83,            0.023357,           0.0093184,            0.013549,            0.085666,             0.84023,             0.80378,             0.83562,             0.49774,            0.022454,            0.029952,            0.015051,            0.086299,          0.00097894,          0.00097894,          0.00097894
                  84,             0.02388,            0.010138,            0.014087,            0.085533,             0.84023,             0.80378,             0.83562,             0.49774,            0.022454,            0.029952,            0.015051,            0.086299,          0.00097894,          0.00097894,          0.00097894
                  85,            0.027124,            0.010111,            0.016886,            0.087179,              0.8209,             0.82222,              0.7984,             0.47627,             0.02384,            0.029978,             0.01697,            0.088158,          0.00097843,          0.00097843,          0.00097843
                  86,             0.02714,            0.010138,            0.014697,            0.086435,             0.68818,             0.82575,             0.77438,             0.43656,            0.024986,            0.028797,            0.014787,            0.088925,          0.00097792,          0.00097792,          0.00097792
                  87,            0.028605,           0.0096899,            0.013356,            0.087055,             0.70393,             0.46296,             0.57981,             0.18188,            0.031453,            0.051553,            0.028983,            0.093268,           0.0009774,           0.0009774,           0.0009774
                  88,            0.026851,           0.0095494,            0.013348,            0.088491,              0.6661,             0.46296,             0.43341,             0.14118,            0.034576,            0.090334,            0.041544,             0.09903,          0.00097688,          0.00097688,          0.00097688
                  89,            0.025352,           0.0091753,            0.014283,            0.088462,             0.59534,             0.62963,             0.46084,             0.16838,            0.030182,            0.095849,            0.040059,            0.097644,          0.00097635,          0.00097635,          0.00097635
                  90,            0.024491,           0.0090119,            0.015213,            0.086114,               0.878,             0.39259,             0.56703,             0.28288,            0.026175,            0.092031,            0.029591,            0.092384,          0.00097582,          0.00097582,          0.00097582
                  91,            0.025118,           0.0098296,             0.01424,            0.086064,             0.86632,             0.51704,             0.77807,             0.39184,            0.028092,            0.077551,            0.021781,            0.088038,          0.00097528,          0.00097528,          0.00097528
                  92,            0.024167,           0.0093445,            0.014316,            0.084913,             0.78222,             0.64617,             0.81225,             0.30176,            0.026058,            0.045676,            0.018665,             0.08663,          0.00097473,          0.00097473,          0.00097473
                  93,            0.023438,           0.0091773,            0.014246,            0.085123,             0.83015,              0.7236,             0.83194,             0.42614,            0.022474,            0.026299,             0.01645,            0.087171,          0.00097418,          0.00097418,          0.00097418
                  94,            0.021474,            0.009413,            0.013369,             0.08588,             0.71724,              0.8863,             0.84624,             0.52295,            0.021411,             0.02424,            0.013903,             0.08465,          0.00097362,          0.00097362,          0.00097362
                  95,            0.021949,           0.0087962,            0.012976,            0.084453,             0.81548,             0.78268,             0.78514,             0.42451,            0.022256,            0.025684,            0.012937,            0.085939,          0.00097306,          0.00097306,          0.00097306
                  96,            0.020943,           0.0090414,            0.012271,            0.085163,             0.86776,             0.72763,             0.81316,             0.43002,            0.022396,            0.024028,            0.013054,            0.084889,          0.00097249,          0.00097249,          0.00097249
                  97,            0.020338,           0.0085653,            0.012984,            0.083024,             0.86776,             0.72763,             0.81316,             0.43002,            0.022396,            0.024028,            0.013054,            0.084889,          0.00097191,          0.00097191,          0.00097191
