               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  62,             0.02393,           0.0052372,           0.0011043,             0.19246,             0.83373,             0.98077,             0.92245,             0.52931,            0.021485,           0.0077293,          0.00061583,             0.19129,          0.00097098,          0.00097098,          0.00097098
                  63,            0.023751,           0.0050152,          0.00078046,             0.19154,             0.82543,              0.9231,             0.94299,             0.32878,            0.026905,           0.0084752,           0.0012984,             0.19177,          0.00097003,          0.00097003,          0.00097003
                  64,             0.02207,           0.0052259,           0.0011813,             0.19194,             0.90798,             0.94204,              0.9671,             0.46306,            0.019786,           0.0070993,          0.00079448,             0.19184,          0.00096907,          0.00096907,          0.00096907
                  65,            0.023115,            0.004858,           0.0010743,             0.19104,             0.85966,             0.91463,             0.90521,             0.30172,            0.022963,            0.008352,          0.00070287,             0.19207,          0.00096809,          0.00096809,          0.00096809
                  66,            0.021582,           0.0048314,           0.0012177,             0.19106,             0.91281,                   1,              0.9588,             0.49966,            0.021178,           0.0073856,          0.00075291,             0.19191,           0.0009671,           0.0009671,           0.0009671
                  67,            0.020801,           0.0048206,          0.00091454,             0.19132,             0.79765,             0.98077,             0.95649,              0.4674,              0.0207,           0.0082582,           0.0006252,             0.19221,           0.0009661,           0.0009661,           0.0009661
                  68,            0.020922,           0.0048458,          0.00081942,             0.19195,             0.93394,             0.94167,              0.9671,              0.4789,            0.021719,           0.0070549,          0.00066415,             0.19212,          0.00096508,          0.00096508,          0.00096508
                  69,            0.021005,           0.0046513,           0.0011616,             0.19161,             0.72823,              0.6737,             0.69765,             0.17793,            0.027063,            0.010199,           0.0089636,             0.19235,          0.00096404,          0.00096404,          0.00096404
                  70,            0.020588,            0.004628,           0.0008813,             0.19104,             0.43328,             0.21368,             0.34304,             0.14491,            0.047764,             0.03469,            0.068128,             0.19351,          0.00096299,          0.00096299,          0.00096299
                  71,            0.020579,           0.0047895,          0.00074179,             0.19135,              0.8539,             0.87574,             0.89876,             0.44036,            0.019942,           0.0074118,           0.0007026,             0.19189,          0.00096193,          0.00096193,          0.00096193
                  72,            0.019674,           0.0046825,          0.00079629,             0.19173,             0.88559,             0.96154,             0.97006,             0.42127,            0.017302,            0.006719,          0.00070254,             0.19177,          0.00096085,          0.00096085,          0.00096085
                  73,            0.020444,           0.0045515,           0.0008755,             0.19089,             0.92319,             0.94827,             0.95351,             0.39044,            0.020012,           0.0061805,            0.000594,             0.19167,          0.00095976,          0.00095976,          0.00095976
                  74,             0.02143,           0.0049231,          0.00077999,              0.1905,             0.74784,             0.90385,             0.91986,             0.42218,            0.019067,           0.0085427,           0.0013098,             0.19207,          0.00095866,          0.00095866,          0.00095866
                  75,            0.019113,           0.0047003,          0.00074839,             0.19137,             0.91834,             0.91827,             0.93404,             0.49448,            0.019794,           0.0064883,          0.00053358,             0.19175,          0.00095754,          0.00095754,          0.00095754
                  76,            0.019685,           0.0049233,          0.00083371,             0.19181,             0.91417,             0.93654,             0.90063,             0.48643,             0.01801,           0.0060381,          0.00048211,             0.19158,           0.0009564,           0.0009564,           0.0009564
                  77,            0.019722,           0.0045565,          0.00066689,             0.19043,             0.98521,             0.94249,             0.96346,             0.49022,            0.024862,           0.0076259,          0.00084663,             0.19139,          0.00095525,          0.00095525,          0.00095525
                  78,            0.020534,           0.0045207,          0.00070938,             0.19172,             0.95234,             0.98056,             0.98886,             0.57072,            0.017738,           0.0067872,          0.00048237,             0.19108,          0.00095409,          0.00095409,          0.00095409
                  79,             0.01999,           0.0045997,          0.00080416,             0.19123,             0.92593,              0.9399,              0.9435,             0.52058,            0.019485,           0.0070411,          0.00039227,             0.19094,          0.00095292,          0.00095292,          0.00095292
